x1	x2	x3	x4	g
260	75	40	18	1										
270	110	39	24	1										
250	117	21	20	1										
170	64	31	14	1										
310	119	25	15	1										
310	122	30	21	2										
170	65	37	16	2										
280	65	30	23	2										
190	60	33	17	2										
240	62	32	20	2										
320	64	39	17	3										
270	65	32	21	3										
260	110	29	20	3										
330	112	21	11	3										
225	100	34	30	3										
200	72	34	17	1										
205	130	34	23	1										
200	107	28	20	1										
270	76	33	13	1										
270	57	31	8	1										
310	60	35	18	2										
210	82	31	17	2										
200	76	40	17	2										
295	55	30	16	2										
280	69	29	20	2										
260	59	37	11	3										
380	114	36	21	3										
295	73	33	21	3										
345	127	24	20	3										
345	120	36	18	3										
240	87	45	18	1										
190	69	27	15	1										
225	130	36	11	1										
190	60	34	16	1										
250	67	31	14	1										
190	40	27	15	2										
280	67	37	18	2										
200	76	39	20	2										
270	125	24	21	2										
370	70	30	20	2										
360	88	28	26	3										
240	55	42	10	3										
240	114	38	18	3										
250	62	22	16	3										
360	107	25	23	3										
170	65	39	17	1										
200	46	45	15	1										
210	125	26	17	1										
280	81	20	18	1										
260	135	39	29	1										
225	65	34	16	2										
210	38	36	17	2										
280	94	26	11	2										
280	120	32	18	2										
280	40	37	17	2										
295	100	36	12	3										
260	55	34	20	3										
310	103	32	18	3										
260	59	21	19	3										
250	117	36	16	3										
